deployment_priority,zone_name,police_station,risk_tier_v5,congestion_score_v5,daily_rate,blockage_pct,patrol_type,officer_count,tow_unit,shift_window,expected_impact,deployment_note,context_tags,near_metro,near_event_venue,metro_dist_m,event_dist_m,enforcement_shift,is_corridor
1,Safina Plaza Junction,Shivajinagar,CRITICAL,100.0,89.1,15.8,Mobile patrol,3,True,7:00 PM – 1:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,General,False,False,558.0,990.0,Evening + night (7pm–midnight),True
2,Sagar Theatre Junction,Upparpet,CRITICAL,88.5,55.2,14.7,Mobile patrol,3,True,11:00 PM – 5:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,General,False,False,604.0,1156.0,Late night (11pm–4am),True
3,Bellandur area,Bellandur,CRITICAL,87.6,14.1,30.7,Mobile patrol,3,True,11:00 PM – 5:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,Event venue,False,True,4972.0,484.0,Late night (11pm–4am),True
4,Palmgroove Junction,Halasur,CRITICAL,85.9,11.0,24.1,Mobile patrol,3,True,11:00 PM – 5:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,Metro zone,True,False,473.0,1636.0,Late night (11pm–4am),True
5,Siddalingaiah Circle,Cubbon Park,CRITICAL,84.6,7.7,20.3,Mobile patrol,3,True,7:00 PM – 1:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,"Metro zone, Event venue",True,True,445.0,293.0,Evening + night (7pm–midnight),True
6,"17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,CRITICAL,83.5,9.4,26.5,Mobile patrol,3,True,11:00 PM – 5:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,General,False,False,1736.0,661.0,Late night (11pm–4am),True
7,Mahadevapura area,Mahadevapura,CRITICAL,80.7,11.6,26.1,Mobile patrol,3,True,7:00 PM – 1:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,General,False,False,2258.0,2258.0,Evening + night (7pm–midnight),True
8,HAL Old Airport area,HAL Old Airport,CRITICAL,78.6,8.1,29.0,Mobile patrol,3,True,11:00 PM – 5:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,Metro zone,True,False,241.0,1224.0,Late night (11pm–4am),True
9,Mahadevapura area,Mahadevapura,CRITICAL,77.5,5.7,30.3,Mobile patrol,3,True,11:00 PM – 5:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,General,False,False,678.0,800.0,Late night (11pm–4am),True
10,HAL Old Airport area,HAL Old Airport,CRITICAL,75.8,9.6,18.0,Mobile patrol,3,True,7:00 PM – 1:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,Event venue,False,True,1861.0,313.0,Evening + night (7pm–midnight),True
11,Hulimavu area,Hulimavu,HIGH,74.5,6.6,25.0,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,804.0,1872.0,Late night (11pm–4am),True
